;appid;required_age;is_free;controller_support;dlc;metacritic;windows;mac;linux;platforms_num;recommendations;achievements;release_date;release_date_final
1218;1453710;0;False;;1.0;;1.0;0.0;0.0;1.0;;18.0;2021-Jul-12;2021-07-12
1219;1501420;0;False;;;;1.0;1.0;0.0;2.0;;39.0;2021-Nov-18;2021-11-18
1220;1754440;0;False;;;;1.0;0.0;0.0;1.0;;;2021-Sep-30;2021-09-30
1221;1173810;0;False;;;;1.0;0.0;0.0;1.0;1171.0;39.0;2021-Nov-10;2021-11-10
1222;1664350;0;True;;;;1.0;0.0;0.0;1.0;;;2021-ct-7O;
1223;988490;0;False;;1.0;;1.0;1.0;1.0;3.0;;24.0;2021-Mar-29;2021-03-29
1224;1693200;0;False;;;;1.0;0.0;0.0;1.0;;7.0;2021-Aug-31;2021-08-31
1225;1333700;0;False;full;;;1.0;0.0;0.0;1.0;;25.0;2021-Jan20-21;
1226;760630;0;False;;;;1.0;1.0;0.0;2.0;179.0;54.0;2021-un-2J;
1227;1502380;0;False;;1.0;;1.0;0.0;0.0;1.0;277.0;;2021-Jan20-21;
1228;1399670;0;False;;;;1.0;1.0;0.0;2.0;121.0;8.0;2021-eb-5F;
1229;1548820;0;False;;1.0;;1.0;0.0;0.0;1.0;291.0;20.0;2021-Apr-24;2021-04-24
1230;1488100;0;False;;1.0;;1.0;1.0;1.0;3.0;;;2021-Jan-25;2021-01-25
1231;1501650;0;False;;;;1.0;0.0;0.0;1.0;;6.0;2021-Jan-17;2021-01-17
1232;1454550;0;False;full;;;1.0;0.0;1.0;2.0;;10.0;2021-Jul21-20;
1233;1667490;0;False;;2.0;;1.0;1.0;0.0;2.0;;15.0;2021-Jul-15;2021-07-15
1234;1536470;0;False;;;;1.0;0.0;0.0;1.0;138.0;18.0;2021-pr-7A;
1235;775500;0;False;;7.0;78.0;1.0;0.0;0.0;1.0;10269.0;53.0;2021-Jun-24;2021-06-24
1236;1801850;0;False;;;;1.0;0.0;0.0;1.0;206.0;;2021-Nov-16;2021-11-16
1237;1304350;0;False;;;;1.0;0.0;0.0;1.0;;25.0;2021-Nov-15;2021-11-15
1238;1563340;0;True;;;;1.0;1.0;0.0;2.0;;9.0;2021-Mar-15;2021-03-15
1239;1544570;0;True;;;;1.0;1.0;1.0;3.0;;;2021-Feb-19;2021-02-19
1240;1418760;0;False;;;;1.0;0.0;0.0;1.0;285.0;;2021-Aug-23;2021-08-23
1241;1634990;0;False;;;;1.0;0.0;0.0;1.0;;44.0;2021-Aug-26;2021-08-26
1242;1294380;0;False;;;;1.0;0.0;0.0;1.0;;24.0;2021-Jul-26;2021-07-26
1243;1402030;0;False;;;;1.0;1.0;0.0;2.0;;;2021-Dec-14;2021-12-14
1244;1476800;0;False;;;;1.0;1.0;0.0;2.0;;;2021-Jul-19;2021-07-19
