;App_id;24_Hour_Peak;All_time_peak
2034;727760;Invalid;Invalid
2035;938300;Invalid;Invalid
2036;868230;Invalid;Invalid
2037;221100;43007;63040
2038;898160;0;6
2039;943810;Invalid;Invalid
2040;887400;Invalid;Invalid
2041;897630;Invalid;Invalid
2042;852900;Invalid;Invalid
2043;948460;Invalid;Invalid
2044;611040;6;127
2045;667890;127;3819
2046;557240;0;7
2047;705380;Invalid;Invalid
2048;812930;10;14
2049;875110;4;7
2050;787400;0;328
2051;793670;Invalid;Invalid
2052;857710;Invalid;Invalid
2053;872060;Invalid;Invalid
2054;917200;Invalid;Invalid
2055;997480;Invalid;Invalid
2056;559100;68;2653
2057;751440;9;521
2058;698050;Invalid;Invalid
2059;622460;Invalid;Invalid
2060;656590;Invalid;Invalid
2061;491010;261;1084
2062;951130;Invalid;Invalid
2063;862740;Invalid;Invalid
2064;714080;Invalid;Invalid
2065;639560;Invalid;Invalid
2066;934060;0;34
2067;695100;Invalid;Invalid
2068;882640;Invalid;Invalid
2069;790450;Invalid;Invalid
2070;837640;Invalid;Invalid
2071;851330;Invalid;Invalid
2072;778260;Invalid;Invalid
2073;871100;Invalid;Invalid
2074;620190;28;502
2075;445950;Invalid;Invalid
2076;694520;Invalid;Invalid
2077;703490;Invalid;Invalid
2078;713450;Invalid;Invalid
2079;747640;0;2
2080;797020;0;3
2081;808990;Invalid;Invalid
2082;809460;Invalid;Invalid
2083;843120;Invalid;Invalid
2084;859820;0;1
2085;868880;Invalid;Invalid
2086;880370;Invalid;Invalid
2087;887890;0;4
2088;924280;Invalid;Invalid
2089;925060;Invalid;Invalid
2090;959710;Invalid;Invalid
2091;785780;39;190
2092;867140;Invalid;Invalid
2093;784100;Invalid;Invalid
2094;821120;Invalid;Invalid
2095;765380;Invalid;Invalid
2096;824470;Invalid;Invalid
2097;896570;Invalid;Invalid
2098;909480;Invalid;Invalid
2099;724390;Invalid;Invalid
2100;786630;Invalid;Invalid
2101;865180;0;107
2102;922150;Invalid;Invalid
2103;810780;Invalid;Invalid
2104;781590;Invalid;Invalid
2105;755250;Invalid;Invalid
2106;811130;Invalid;Invalid
2107;851840;Invalid;Invalid
2108;864510;0;5
2109;888630;Invalid;Invalid
2110;774351;Invalid;Invalid
2111;215830;76;2063
2112;817130;55;1481
2113;404200;Invalid;Invalid
2114;370120;Invalid;Invalid
2115;702790;0;2
2116;724910;Invalid;Invalid
2117;786280;Invalid;Invalid
2118;788520;Invalid;Invalid
2119;825320;Invalid;Invalid
2120;831260;Invalid;Invalid
2121;868930;Invalid;Invalid
2122;896070;Invalid;Invalid
2123;908180;Invalid;Invalid
2124;923350;0;4
2125;928370;0;3
